file_id,file_name,local_file_name,local_path,size_bytes_local,modified_time_local,exif_datetime,width,height,drive_folder_id,drive_modifiedTime,drive_size,drive_mimeType
19K-b2TJzJjcA0PqdL7Q4VQWyjpawAX3-,IMG_0045.JPG,19K-b2TJzJjcA0PqdL7Q4VQWyjpawAX3-__IMG_0045.JPG,data/staging/19K-b2TJzJjcA0PqdL7Q4VQWyjpawAX3-__IMG_0045.JPG,2735861,2026-01-17T00:10:04.174106,2025:10:14 16:57:19,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-15T00:57:18.000Z,2735861,image/jpeg
1eRj15r-GnAioh1wstXgeluO9Ecaimplo,IMG_0046.JPG,1eRj15r-GnAioh1wstXgeluO9Ecaimplo__IMG_0046.JPG,data/staging/1eRj15r-GnAioh1wstXgeluO9Ecaimplo__IMG_0046.JPG,342156,2026-01-17T00:10:03.137146,2025:10:15 04:49:40,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-15T12:49:40.000Z,342156,image/jpeg
1QGeD299R2JWEjk8HPm7P8paAfd-VoPLi,IMG_0047.JPG,1QGeD299R2JWEjk8HPm7P8paAfd-VoPLi__IMG_0047.JPG,data/staging/1QGeD299R2JWEjk8HPm7P8paAfd-VoPLi__IMG_0047.JPG,707141,2026-01-17T00:10:02.423942,2025:10:15 04:49:42,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-15T12:49:42.000Z,707141,image/jpeg
18BXySlJu9V2QFSkgIBODxKiX95TIqWHF,IMG_0048.JPG,18BXySlJu9V2QFSkgIBODxKiX95TIqWHF__IMG_0048.JPG,data/staging/18BXySlJu9V2QFSkgIBODxKiX95TIqWHF__IMG_0048.JPG,707065,2026-01-17T00:10:01.292430,2025:10:15 04:49:44,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-15T12:49:44.000Z,707065,image/jpeg
1yBf2i83Bm2bn-GUacx0L2V67wFQSxFkl,IMG_0049.JPG,1yBf2i83Bm2bn-GUacx0L2V67wFQSxFkl__IMG_0049.JPG,data/staging/1yBf2i83Bm2bn-GUacx0L2V67wFQSxFkl__IMG_0049.JPG,2619619,2026-01-17T00:10:00.529035,2025:10:15 07:44:15,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-15T15:44:16.000Z,2619619,image/jpeg
14RbAP65GIcPROXhRFYeLsY53aOBr-qu8,IMG_0050.JPG,14RbAP65GIcPROXhRFYeLsY53aOBr-qu8__IMG_0050.JPG,data/staging/14RbAP65GIcPROXhRFYeLsY53aOBr-qu8__IMG_0050.JPG,2638070,2026-01-17T00:09:58.011602,2025:10:15 07:44:17,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-15T15:44:18.000Z,2638070,image/jpeg
12rUAoKOYG72dxk61mTMQNuKilTKCfPV4,IMG_0051.JPG,12rUAoKOYG72dxk61mTMQNuKilTKCfPV4__IMG_0051.JPG,data/staging/12rUAoKOYG72dxk61mTMQNuKilTKCfPV4__IMG_0051.JPG,2636899,2026-01-17T00:09:56.214069,2025:10:15 07:44:20,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-15T15:44:20.000Z,2636899,image/jpeg
15V-QvNxaeqA2cTj7yANPQfzJMJqY1zqs,IMG_0052.JPG,15V-QvNxaeqA2cTj7yANPQfzJMJqY1zqs__IMG_0052.JPG,data/staging/15V-QvNxaeqA2cTj7yANPQfzJMJqY1zqs__IMG_0052.JPG,703940,2026-01-17T00:09:55.056906,2025:10:16 03:57:18,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-16T11:57:18.000Z,703940,image/jpeg
1XyAOjP0uhrn7BSoLTyR6LL3u5NGcBaLS,IMG_0053.JPG,1XyAOjP0uhrn7BSoLTyR6LL3u5NGcBaLS__IMG_0053.JPG,data/staging/1XyAOjP0uhrn7BSoLTyR6LL3u5NGcBaLS__IMG_0053.JPG,704399,2026-01-17T00:09:54.274738,2025:10:16 03:57:20,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-16T11:57:20.000Z,704399,image/jpeg
1k6HCqzVzZNfWtJYSaQnGqUoh4BaMgxVr,IMG_0054.JPG,1k6HCqzVzZNfWtJYSaQnGqUoh4BaMgxVr__IMG_0054.JPG,data/staging/1k6HCqzVzZNfWtJYSaQnGqUoh4BaMgxVr__IMG_0054.JPG,659916,2026-01-17T00:09:53.578048,2025:10:16 03:57:23,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-16T11:57:22.000Z,659916,image/jpeg
1vtG1Hi4GA6kHjFhbbJHuHKnhug7KmlmC,IMG_0055.JPG,1vtG1Hi4GA6kHjFhbbJHuHKnhug7KmlmC__IMG_0055.JPG,data/staging/1vtG1Hi4GA6kHjFhbbJHuHKnhug7KmlmC__IMG_0055.JPG,705992,2026-01-17T00:09:52.944111,2025:10:16 22:41:54,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-17T06:41:54.000Z,705992,image/jpeg
